org_code,school_name,school_address,school_phone_number,principal_name,principal_email,school_type,enrollment,grades_served,student_teacher_ratio,race_african_american_count,race_african_american_pct,race_american_indian_alaskan_native_count,race_american_indian_alaskan_native_pct,race_asian_count,race_asian_pct,race_hispanic_latino_count,race_hispanic_latino_pct,race_multi_race_non_hispanic_count,race_multi_race_non_hispanic_pct,race_native_hawaiian_pacific_islander_count,race_native_hawaiian_pacific_islander_pct,race_white_count,race_white_pct,pop_high_needs_count,pop_high_needs_pct,pop_english_learners_count,pop_english_learners_pct,pop_first_language_not_english_count,pop_first_language_not_english_pct,pop_low_income_count,pop_low_income_pct,pop_students_with_disabilities_count,pop_students_with_disabilities_pct
00350215,Bradley Elementary School,"110 Beachview Road  , East Boston   MA   02128",617-635-8422,Claire  Carney,ccarney2@bostonpublicschools.org,Public,295,PK - 06,10.8 to 1,28,6.8,0,0.3,8,4.4,44,44.1,,,0,0.3,14,40.7,31,100.0,18,100.0,,,23,100.0,9,100.0
00350505,Brighton High School,"25 Warren Street  , Brighton   MA   02135",617-635-9873,Andrew  Bott,abott@bostonpublicschools.org,Public,609,07 - 12,9.1 to 1,28,31.4,0,0.5,8,4.3,44,55.2,,,0,0.0,14,6.2,,,,,,,,,,
00350036,Carter School,"396 Northhampton St  , Boston   MA   02118",617-635-9832,Mark  O'connor,moconnor5@bostonpublicschools.org,Public,50,PK - 12,28 to 1,28,52.0,0,0.0,8,0.0,44,40.0,,,0,0.0,14,8.0,3,3,1,1,,,3,3,3,3
00350360,Channing Elementary School,"35 Sunnyside Street  , Hyde Park   MA   02136",617-635-8722,Carline Nmn Pignato,cpignato@bostonpublicschools.org,Public,200,PK - 06,9.2 to 1,28,44.0,0,0.5,8,1.5,44,46.0,,,0,0.0,14,6.5,26,100.0,15,100.0,,,21,100.0,15,100.0
00350515,Charlestown High School,"240 Medford Street  , Charlestown   MA   02129",617-635-9914,Ajay  Trivedi,atrivedi@bostonpublicschools.org,Public,646,07 - 12,8.1 to 1,28,26.8,0,0.0,8,6.5,44,56.7,,,0,0.0,14,8.0,,,,,,,,,,
00350154,Chittick Elementary School,"154 Ruskindale Road  , Mattapan   MA   02126",617-635-8652,,mburnett@bostonpublicschools.org,Public,275,PK - 06,9.4 to 1,28,59.6,0,0.4,8,1.1,44,30.2,,,0,0.0,14,5.1,39,100.0,18,100.0,,,34,100.0,17,100.0
00350298,Clap Elementary School,"35 Harvest Street  , Dorchester   MA   02125",617-635-8672,Emma  Fialka-Feldman,efialkafeldman@bostonpublicschools.org,Public,144,PK - 06,9 to 1,28,35.4,0,0.0,8,6.3,44,41.7,,,0,0.0,14,11.1,20,100.0,9,100.0,,,18,100.0,3,3
00350518,Community Academy,"25 Glen Road  , Jamaica Plain   MA   02130",617-635-8950,Sonie  Felix,sfelix@bostonpublicschools.org,Public,39,10 - 12,5.5 to 1,28,46.2,0,0.0,8,0.0,44,41.0,,,0,0.0,14,0.0,,,,,,,,,,
00350581,Community Academy of Science and Health,"11 Charles Street  , Dorchester   MA   02122",617-635-8950,Marques  Simpson,msimpson@bostonpublicschools.org,Public,373,09 - 12,12.6 to 1,28,63.5,0,0.0,8,4.3,44,28.4,,,0,0.3,14,1.6,,,,,,,,,,
00350146,Condon K-8 School,"200 D Street  , South Boston   MA   02127",617-635-8608,Margaret  Gregory,mgregory2@bostonpublicschools.org,Public,448,PK - 08,8.5 to 1,28,33.3,0,1.1,8,5.8,44,47.3,,,0,0.4,14,7.4,36,100.0,17,100.0,,,35,100.0,9,100.0
00350122,Conley Elementary School,"450 Poplar Street  , Roslindale   MA   02131",617-635-8099,Jennifer  Eddington,jeddington@bostonpublicschools.org,Public,157,PK - 06,7.5 to 1,28,24.2,0,0.0,8,0.6,44,52.9,,,0,1.3,14,16.6,12,100.0,3,3,,,9,100.0,2,2
00350020,Curley K-8 School,"493 Centre St.  , Jamaica Plain   MA   02130",617-635-8176,Brian  Radley,bradley2@bostonpublicschools.org,Public,955,PK - 08,8 to 1,28,18.1,0,0.1,8,3.6,44,39.1,,,0,0.1,14,31.6,50,100.0,25,100.0,,,39,100.0,22,100.0
00350074,Dearborn STEM Academy,"36 Winthrop St  , Roxbury   MA   02119",617-635-8412,Darlene Adele Marcano,dmarcano@bostonpublicschools.org,Public,565,07 - 12,10.9 to 1,28,63.0,0,0.4,8,0.2,44,33.1,,,0,0.4,14,1.4,,,,,,,,,,
00350268,Dever Elementary School,"325 Mt Vernon Street  , Dorchester   MA   02125",617-635-8694,Margaret  Reardon,mreardon@bostonpublicschools.org,Public,279,K - 06,11.5 to 1,28,21.9,0,0.0,8,2.9,44,63.4,,,0,0.4,14,9.0,25,100.0,19,100.0,,,22,100.0,3,3
00350009,East Boston Early Education Center,"135 Grove Street  , East Boston   MA   02128",617-635-6456,Joy  Ramnarine,jramnarine@bostonpublicschools.org,Public,139,PK - 01,11.3 to 1,28,2.9,0,0.0,8,0.7,44,62.6,,,0,0.0,14,27.3,29,100.0,17,100.0,,,18,100.0,10,100.0
00350530,East Boston High School,"86 White Street  , East Boston   MA   02128",617-635-9896,Phillip R Brangiforte,pbrangiforte@bostonpublicschools.org,Public,1181,07 - 12,11.5 to 1,28,5.7,0,0.0,8,1.2,44,81.6,,,0,0.0,14,10.3,,,,,,,,,,
00350375,Edison Elementary School,"60 Glenmont Road  , Brighton   MA   02135",617-635-8436,Elvis  Henriquez,ehenriquez@bostonpublicschools.org,Public,455,PK - 06,8.8 to 1,28,18.0,0,0.2,8,8.4,44,58.5,,,0,0.0,14,12.7,45,100.0,29,100.0,,,38,100.0,3,3
00350096,Eliot K-8 Innovation School,"16 Charter Street  , Boston   MA   02113",617-635-8545,Traci Walker Griffith,tgriffith@bostonpublicschools.org,Public,779,PK - 08,13.4 to 1,28,5.1,0,0.1,8,7.8,44,16.0,,,0,0.1,14,63.5,37,100.0,14,100.0,,,13,100.0,14,100.0
00350072,Ellis Elementary School,"302 Walnut Avenue  , Roxbury   MA   02119",617-635-8257,Lemuel  Ivy,livy@bostonpublicschools.org,Public,418,PK - 06,12.5 to 1,28,28.5,0,0.0,8,0.0,44,66.0,,,0,0.0,14,3.1,64,100.0,32,32,,,64,100.0,6,100.0
00350008,Ellison-Parks Early Education School,"108 Babson Street  , Mattapan   MA   02126",617-635-7680,Dwayne  Nunez,dnunez@bostonpublicschools.org,Public,183,PK - 03,9.8 to 1,28,53.6,0,0.0,8,1.1,44,39.3,,,0,0.0,14,3.8,32,100.0,52,52,,,25,100.0,8,100.0
00350535,English High School,"144 McBride Street  , Jamaica Plain   MA   02130",617-635-8979,Caitlin  Murphy,cmurphy3@bostonpublicschools.org,Public,653,07 - 12,10.2 to 1,28,29.4,0,0.2,8,1.1,44,62.8,,,0,0.2,14,4.0,,,,,,,,,,
00350088,Everett Elementary School,"71 Pleasant Street  , Dorchester   MA   02125",617-635-8778,Geraldine  Labissiere,glabissiere@bostonpublicschools.org,Public,283,PK - 06,11.3 to 1,28,39.6,0,0.4,8,9.9,44,35.0,,,0,0.0,14,12.7,17,100.0,10,100.0,,,14,100.0,4,4
00350522,Excel High School,"95 G. Street South Boston Education Complex , South Boston   MA   02127",617-635-9870,Nachelle  Gordon,ngordon@bostonpublicschools.org,Public,90,10 - 12,7.3 to 1,28,24.4,0,0.0,8,26.7,44,35.6,,,0,0.0,14,6.7,,,,,,,,,,
00350540,Fenway High School,"67 Alleghany St  , Roxbury   MA   02120",617-635-9911,Geoffrey  Walker,gwalker2@bostonpublicschools.org,Public,358,09 - 12,11.8 to 1,28,28.8,0,0.6,8,3.6,44,56.7,,,0,0.3,14,7.5,,,,,,,,,,
00350326,Gardner Pilot Academy,"30 Athol Street  , Allston   MA   02134",617-635-8365,Katherine  Atkins pattenson,katkinspattenson@bostonpublicschools.org,Public,296,PK - 06,9.5 to 1,28,12.8,0,1.0,8,5.4,44,64.2,,,0,0.0,14,12.5,33,100.0,19,100.0,,,26,100.0,6,100.0
00350543,Greater Egleston High School,"80 School St  , Roxbury   MA   02119",617-635-6429,Genevieve  Nouveaux,gnouveaux@bostonpublicschools.org,Public,53,09 - 12,8.8 to 1,28,37.7,0,0.0,8,3.8,44,54.7,,,0,0.0,14,0.0,,,,,,,,,,
00350308,Greenwood Sarah K-8 School,"189 Glenway Street  , Dorchester   MA   02121",617-635-8710,Antonelli  Mejia,amejia2@bostonpublicschools.org,Public,381,PK - 08,9.3 to 1,28,10.5,0,0.3,8,0.0,44,87.4,,,0,0.0,14,1.3,38,100.0,34,100.0,,,37,100.0,3,3
00350135,Grew Elementary School,"40 Gordon Avenue  , Hyde Park   MA   02136",617-635-8715,Christina  Michel,cmichel2@bostonpublicschools.org,Public,196,PK - 06,9.9 to 1,28,31.1,0,0.5,8,0.5,44,42.3,,,0,0.0,14,14.8,14,100.0,7,100.0,,,11,100.0,2,2
00350062,Guild Elementary School,"195 Leyden Street  , East Boston   MA   02128",617-635-8523,Karen L McCarthy,kmccarthy2@bostonpublicschools.org,Public,243,PK - 06,8.8 to 1,28,5.3,0,0.0,8,0.0,44,84.8,,,0,0.0,14,9.1,27,100.0,21,100.0,,,23,100.0,7,100.0
00350243,Hale Elementary School,"51 Cedar Street  , Roxbury   MA   02119",617-635-8205,Rosa  Esparza,resparza@bostonpublicschools.org,Public,167,PK - 06,10.7 to 1,28,50.3,0,0.0,8,4.2,44,22.8,,,0,0.0,14,14.4,11,100.0,6,100.0,,,6,100.0,5,5
00350077,Haley Pilot School,"570 American Legion Highway  , Roslindale   MA   02131",617-635-8169,Kathleen  Sullivan,haley@boston.k12.ma.us,Public,352,PK - 06,8.2 to 1,28,40.9,0,0.3,8,1.1,44,32.7,,,0,0.0,14,19.9,40,100.0,10,100.0,,,31,100.0,17,100.0
00350200,Harvard-Kent Elementary School,"50 Bunker Hill Street  , Charlestown   MA   02129",617-635-8358,Ben  Russell,harvard-kent@boston.k12.ma.us,Public,315,PK - 06,9.1 to 1,28,13.3,0,0.0,8,11.4,44,27.3,,,0,0.0,14,42.9,30,100.0,11,100.0,,,20,100.0,14,100.0
00350010,Haynes Early Education Center,"263 Blue Hill Avenue  , Roxbury    MA   02119",617-635-6446,Donette  Wilson-Wood,hayneseec@boston.k12.ma.us,Public,191,PK - 01,11 to 1,28,44.0,0,0.5,8,1.0,44,48.7,,,0,0.0,14,3.1,58,100.0,28,100.0,,,54,100.0,14,100.0
00350266,Henderson K-12 Inclusion School Lower,"1669 Dorchester Avenue  , Dorchester   MA   02122",617-635-8725,Lori  Wiggins,lwiggins2@bostonpublicschools.org,Public,185,PK - 01,7.7 to 1,28,36.8,0,1.1,8,8.6,44,35.7,,,0,1.1,14,8.6,52,100.0,24,100.0,,,39,100.0,16,100.0
00350426,Henderson K-12 Inclusion School Upper,"18 Croftland Av    , Dorchester   MA   02124",617-635-6365,Lori  Wiggins,lwiggins2@bostonpublicschools.org,Public,605,02 - 12,8.1 to 1,28,43.3,0,0.8,8,6.9,44,35.7,,,0,0.7,14,8.1,,,,,,,,,,
00350153,Hennigan Elementary School,"200 Heath Street  , Jamaica Plain   MA   02130",617-635-8264,Tanya  Woodard,twoodard@bostonpublicschools.org,Public,361,PK - 06,9.4 to 1,28,25.8,0,0.3,8,2.2,44,65.9,,,0,0.0,14,3.6,28,100.0,14,100.0,,,23,100.0,8,100.0
00350691,Hernandez Elementary School,"61 School Street  , Roxbury   MA   02119",617-635-8187,Daneille  Costello,dcostello2@bostonpublicschools.org,Public,332,PK - 06,13.8 to 1,28,2.7,0,0.0,8,0.0,44,73.8,,,0,0.0,14,18.7,34,100.0,24,100.0,,,26,100.0,7,100.0
00350015,Higginson Inclusion K0-2 School,"160 Harrishof Street  , Roxbury   MA   02119",617-635-8247,Allyson  Hart,ahart@bostonpublicschools.org,Public,161,PK - 02,8.8 to 1,28,31.1,0,0.0,8,1.2,44,55.9,,,0,0.0,14,4.3,37,100.0,14,100.0,,,35,100.0,13,100.0
00350377,Higginson-Lewis K-8 School,"131 Walnut Avenue  , Roxbury   MA   02119",617-635-8247,Dana  Skelly,dskelly@bostonpublicschools.org,Public,246,03 - 08,9.2 to 1,28,35.0,0,0.0,8,1.2,44,56.9,,,0,0.0,14,4.1,,,,,,,,,,
00350138,Holmes Elementary School,"40 School Street  , Dorchester   MA   02124",617-635-8681,Lianne  Hughes Shackelford,lhughesshackelford@bostonpublicschools.org,Public,301,PK - 06,9.4 to 1,28,48.5,0,0.3,8,3.0,44,42.2,,,0,0.0,14,1.7,40,100.0,20,100.0,,,39,100.0,7,100.0
00350750,Horace Mann School for the Deaf Hard of Hearing,"28 Walker St  , Charlestown   MA   02129",617-635-8534,,meisansmith@bostonpublicschools.org,Public,78,PK - 12,2 to 1,28,21.8,0,0.0,8,7.7,44,56.4,,,0,0.0,14,11.5,2,2,,,,,4,4,2,2
00350182,Hurley K-8 School,"70 Worcester Street  , Boston   MA   02118",617-635-8489,Bethy  Verano,bverano@bostonpublicschools.org,Public,337,PK - 08,12.2 to 1,28,4.7,0,0.3,8,1.8,44,69.1,,,0,0.0,14,21.1,36,100.0,21,100.0,,,31,100.0,8,100.0
00350166,Kennedy John F Elementary School,"7 Bolster Street  , Jamaica Plain   MA   02130",617-635-8127,Christine  Copeland,ccopeland@bostonpublicschools.org,Public,366,PK - 06,13.6 to 1,28,14.8,0,0.0,8,3.0,44,57.4,,,0,0.0,14,19.7,33,100.0,20,100.0,,,26,100.0,11,100.0
00350264,Kennedy Patrick J Elementary School,"242 Bennington St  , East Boston   MA   02128",617-635-8466,Kristen  Goncalves,kgoncalves@bostonpublicschools.org,Public,285,PK - 06,10.9 to 1,28,2.8,0,0.0,8,0.4,44,91.2,,,0,0.0,14,4.9,35,100.0,28,100.0,,,29,100.0,10,100.0
00350328,Kenny Elementary School,"19 Oakton Avenue  , Dorchester   MA   02122",617-635-8789,Shereka  King,sking3@bostonpublicschools.org,Public,315,PK - 06,10.2 to 1,28,24.8,0,0.3,8,14.0,44,30.8,,,0,0.0,14,23.5,25,100.0,9,100.0,,,16,100.0,6,100.0
00350190,Kilmer K-8 School,"35 Baker Street  , West Roxbury   MA   02132",617-635-8060,Joseph  Foley,jfoley3@bostonpublicschools.org,Public,391,PK - 08,10 to 1,28,22.3,0,0.8,8,4.6,44,28.1,,,0,0.0,14,40.2,26,100.0,12,100.0,,,14,100.0,16,100.0
00350376,King Elementary School,"77 Lawrence Avenue  , Dorchester   MA   02121",617-635-8212,Mario  Pires,mpires4@bostonpublicschools.org,Public,454,PK - 06,9.9 to 1,28,47.1,0,0.2,8,0.7,44,46.5,,,0,0.0,14,3.1,60,100.0,38,100.0,,,54,100.0,24,100.0
00350001,Lee Academy,"25 Dunbar Avenue  , Dorchester   MA   02124",617-635-8618,Carlitta  Camillo,ccamillo@bostonpublicschools.org,Public,197,PK - 03,11.3 to 1,28,48.7,0,0.0,8,0.0,44,45.2,,,0,0.0,14,1.5,37,100.0,17,100.0,,,34,100.0,11,100.0
00350183,Lee K-8 School,"155 Talbot Avenue  , Dorchester   MA   02124",617-635-8687,Paul J Kennedy,pkennedy2@bostonpublicschools.org,Public,582,PK - 08,9.3 to 1,28,51.4,0,1.0,8,2.9,44,37.6,,,0,0.2,14,2.9,59,100.0,28,100.0,,,53,100.0,32,100.0
00350262,Lyndon K-8 School,"20 Mt. Vernon Street  , West Roxbury   MA   02132",617-635-6824,Michelle  Morrissey,mmorrissey2@bostonpublicschools.org,Public,524,PK - 08,12.2 to 1,28,11.5,0,0.2,8,4.6,44,21.9,,,0,0.0,14,56.5,19,100.0,12,100.0,,,11,100.0,3,3
00350004,Lyon Elementary School,"50 Beechcroft Street  , Brighton   MA   02135",617-635-7945,Jean-Dominique Herve  Anoh,janoh@bostonpublicschools.org,Public,129,K - 08,6.8 to 1,28,20.9,0,0.0,8,11.6,44,38.8,,,0,0.0,14,21.7,11,100.0,4,4,,,11,100.0,,
00350655,Lyon High School,"95 Beechcroft Street  , Brighton   MA   02135",617-635-8351,Jean-Dominique Herve  Anoh,janoh@bostonpublicschools.org,Public,27,12,6.7 to 1,28,18.5,0,0.0,8,18.5,44,44.4,,,0,0.0,14,7.4,,,,,,,,,,
00350537,Madison Park Technical Vocational High School,"75 Malcolm X Blvd  , Roxbury   MA   02120",617-635-8970,Paul  Neal,pneal@bostonpublicschools.org,Public,1024,09 - 12,9.4 to 1,28,41.6,0,0.1,8,1.2,44,51.3,,,0,0.3,14,2.9,,,,,,,,,,
00350184,Manning Elementary School,"130 Louders Lane  , Jamaica Plain   MA   02130",617-635-8102,Mark  Silva,msilva2@bostonpublicschools.org,Public,150,PK - 06,10.7 to 1,28,10.0,0,0.7,8,4.7,44,22.0,,,0,0.0,14,55.3,10,100.0,2,2,,,6,100.0,5,5
00350549,Margarita Muniz Academy,"20 Child Street  , Boston   MA   02130",617-470-6907,Dan  Abramoski,dabramoski@bostonpublicschools.org,Public,480,07 - 12,9.1 to 1,28,6.7,0,0.0,8,0.0,44,91.9,,,0,0.0,14,0.8,,,,,,,,,,
00350656,Mario Umana Academy,"312 Border Street  , East Boston   MA   02128",617-635-8481,Akua-nia  Francillon,afrancillon@bostonpublicschools.org,Public,585,PK - 08,10.1 to 1,28,3.2,0,0.2,8,0.5,44,90.9,,,0,0.0,14,4.1,51,100.0,45,100.0,,,39,100.0,21,100.0
00350304,Mason Elementary School,"150 Norfolk Avenue  , Roxbury   MA   02119",617-635-8405,Benjamin  Rockoff,brockoff@bostonpublicschools.org,Public,230,PK - 05,9.5 to 1,28,51.7,0,0.4,8,0.4,44,40.4,,,0,0.0,14,3.9,24,100.0,8,100.0,,,23,100.0,5,5
00350227,Mather Elementary School,"1 Parish Street  , Dorchester   MA   02122",617-635-8757,Hai  Son,hson@bostonpublicschools.org,Public,479,PK - 06,10.8 to 1,28,36.1,0,0.8,8,29.4,44,23.4,,,0,0.4,14,5.6,60,100.0,36,100.0,,,51,100.0,7,100.0
00350016,Mattahunt Elementary School,"123 Alabama St  , Mattapan   MA   02126",617-635-8792,Rawchayl  Sahadeo,rsahadeo@bostonpublicschools.org,Public,580,PK - 06,11.1 to 1,28,71.2,0,0.2,8,0.5,44,25.5,,,0,0.0,14,0.3,81,100.0,54,100.0,,,74,100.0,24,100.0
00350080,McKay K-8 School,"122 Cottage Street  , East Boston   MA   02128",617-635-8510,Jason  Meland,jmeland@bostonpublicschools.org,Public,599,PK - 08,9.5 to 1,28,3.2,0,0.0,8,1.0,44,88.0,,,0,0.0,14,6.7,35,100.0,28,100.0,,,30,100.0,4,4
00350363,Melvin H. King South End Academy,"90 Warren Avenue  , Boston   MA   02116",617-635-9976,Debbie  O'Shea,doshea@bostonpublicschools.org,Public,80,PK - 12,3.3 to 1,28,53.8,0,0.0,8,0.0,44,36.3,,,0,0.0,14,7.5,,,,,,,,,,
00350100,Mendell Elementary School,"164 School Street  , Roxbury   MA   02119",617-635-8234,Adeleine  Mannion,amannion@bostonpublicschools.org,Public,312,PK - 06,10.5 to 1,28,26.0,0,0.3,8,3.5,44,37.8,,,0,0.0,14,25.0,30,100.0,25,25,,,24,100.0,6,100.0
00350378,Mildred Avenue K-8 School,"5 Mildred Avenue  , Mattapan   MA   02126",617-635-1642,Kristina  Reeves-barber,kreeves@bostonpublicschools.org,Public,557,PK - 08,10.6 to 1,28,55.1,0,0.7,8,1.6,44,37.5,,,0,0.0,14,1.4,34,100.0,15,100.0,,,33,100.0,11,100.0
00350237,Mozart Elementary School,"236 Beech Street  , Roslindale   MA   02131",617-635-8082,Michelle  Simon,msimon3@bostonpublicschools.org,Public,154,PK - 06,10.7 to 1,28,24.0,0,0.0,8,4.5,44,20.1,,,0,0.0,14,42.9,11,100.0,7,100.0,,,8,100.0,1,1
00350240,Murphy K-8 School,"1 Worrell Street  , Dorchester   MA   02122",617-635-8781,Harry  Gilliam,hgilliam@bostonpublicschools.org,Public,833,PK - 08,12.1 to 1,28,20.2,0,0.1,8,47.2,44,18.0,,,0,0.2,14,11.0,68,100.0,42,100.0,,,47,100.0,30,100.0
00350542,New Mission High School,"655 Metropolitan Ave  , Hyde Park   MA   02136",617-635-6437,,kcutler@bostonpublicschools.org,Public,739,07 - 12,11.6 to 1,28,43.4,0,0.4,8,2.6,44,41.3,,,0,0.1,14,9.1,,,,,,,,,,
00350575,O'Bryant School of Math & Science,"55 Malcolm X Blvd  , Roxbury   MA   02120",617-635-9932,Patreka  Wood,pwood2@bostonpublicschools.org,Public,1518,07 - 12,15.2 to 1,28,29.2,0,0.3,8,17.3,44,37.0,,,0,0.1,14,12.6,,,,,,,,,,
00350141,O'Donnell Elementary School,"33 Trenton Street  , East Boston   MA   02128",617-635-8454,Emily  Sproviero,mrubino@bostonpublicschools.org,Public,248,PK - 06,10.3 to 1,28,2.0,0,0.0,8,2.8,44,88.3,,,0,0.0,14,6.0,33,100.0,20,20,,,28,100.0,5,5
00350258,Ohrenberger School,"175 West  Boundary Road  , West Roxbury   MA   02132",617-635-8157,Terrance  Johnson,tjohnson3@bostonpublicschools.org,Public,458,03 - 08,11.3 to 1,28,40.4,0,0.4,8,2.8,44,37.1,,,0,0.2,14,15.5,,,,,,,,,,
00350257,Orchard Gardens K-8 School,"906 Albany Street  , Roxbury   MA   02119",617-635-1656,Lauren  Murdock,lmurdock@bostonpublicschools.org,Public,716,PK - 08,10.2 to 1,28,54.6,0,0.1,8,1.4,44,38.8,,,0,0.4,14,2.4,55,100.0,31,100.0,,,51,100.0,13,100.0
00350156,Otis Elementary School,"218 Marion Street  , East Boston   MA   02128",617-635-8372,Paula  Cerqueira-Goncalve,pgoncalves@bostonpublicschools.org,Public,414,PK - 06,13.4 to 1,28,1.9,0,0.0,8,1.9,44,70.3,,,0,0.0,14,22.2,47,100.0,35,100.0,,,35,100.0,5,5
00350231,Perkins Elementary School,"50 Burke Street  , South Boston   MA   02127",617-635-8601,Heela  Roshan,hroshan@bostonpublicschools.org,Public,201,PK - 06,8.8 to 1,28,32.3,0,0.0,8,3.5,44,47.8,,,0,0.0,14,12.4,27,100.0,10,100.0,,,23,100.0,9,100.0
00350255,Perry Elementary School,"745 E. 7th Street  , South Boston   MA   02127",617-635-8840,Brendan  McGrath,bmcgrath@bostonpublicschools.org,Public,232,PK - 06,10.3 to 1,28,8.6,0,0.0,8,5.2,44,20.7,,,0,0.0,14,61.6,21,100.0,5,5,,,11,100.0,10,100.0
00350286,Quincy Elementary School,"885 Washington Street  , Boston   MA   02111",617-635-8497,Cynthia  Soo hoo,csoohoo@bostonpublicschools.org,Public,719,PK - 05,12 to 1,28,12.1,0,0.0,8,47.7,44,10.4,,,0,0.1,14,21.4,67,100.0,46,100.0,,,42,100.0,20,100.0
