school,website_link,grades_allowed,school_start_date,school_end_date,programs,special_needs_accommodations,contact_info,address,extracurricular_activities,number_students_enrolled,other_pertinent_info
Boston Collaborative High School,https://www.bostonpublicschools.org/school/boston-collaborative-high-school,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-collaborative-high-school
"Boston Day-Evening Academy (9-12) Bradley Elementary (K0-6) Community Academy (9-12)
20 Kearsarge Ave, Roxbury 110 Beachview Rd, East Boston 25 Glen Rd, Jamaica Plain
Magdalene Moise: 617-635-6789 Sam Pichette: 617-635-8422 Contact school for more information.
11/12/2025: 8:30 AM - 10:00 AM, (P) 11/13/2025: 10:00 AM - 11:00 AM, (P) Sonie Felix",https://www.bostonpublicschools.org/school/boston-day-evening-academy-9-12-bradley-elementary-k0-6-community-academy-9-12-20-kearsarge-ave-roxbury-110-beachview-rd-east-boston-25-glen-rd-jamaica-plain-magdalene-moise-617-635-6789-sam-pichette-617-635-8422-contact-school-for-more-information-11122025-830-am-1000-am-p-11132025-1000-am-1100-am-p-sonie-felix,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-day-evening-academy-9-12-bradley-elementary-k0-6-community-academy-9-12-20-kearsarge-ave-roxbury-110-beachview-rd-east-boston-25-glen-rd-jamaica-plain-magdalene-moise-617-635-6789-sam-pichette-617-635-8422-contact-school-for-more-information-11122025-830-am-1000-am-p-11132025-1000-am-1100-am-p-sonie-felix
"1/14/2026: 8:30 AM - 10:00 AM, (P) 1/12/2026: 12:00 PM - 1:00 PM, (V) (617) 635-7734
Community Academy of Science and
Boston Green Academy (7-12) Brighton High School (7-12) Health (10-12)
20 Warren Street, Brighton 25 Warren St, Brighton 11 Charles St, Dorchester
Nusy Hassan or Cynthia Barros:
Amanda Reveles: 857-891-1742 O-Yoshy Santos: 617-528-9635 617-635-8950
12/2/2025: 5:00 PM - 7:00 PM, (P) 11/20/2025: 10:00 AM - 11:00 AM, (V) 11/18/2025: 3:00 PM - 5:00 PM, (P)",https://www.bostonpublicschools.org/school/1142026-830-am-1000-am-p-1122026-1200-pm-100-pm-v-617-635-7734-community-academy-of-science-and-boston-green-academy-7-12-brighton-high-school-7-12-health-10-12-20-warren-street-brighton-25-warren-st-brighton-11-charles-st-dorchester-nusy-hassan-or-cynthia-barros-amanda-reveles-857-891-1742-o-yoshy-santos-617-528-9635-617-635-8950-1222025-500-pm-700-pm-p-11202025-1000-am-1100-am-v-11182025-300-pm-500-pm-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1142026-830-am-1000-am-p-1122026-1200-pm-100-pm-v-617-635-7734-community-academy-of-science-and-boston-green-academy-7-12-brighton-high-school-7-12-health-10-12-20-warren-street-brighton-25-warren-st-brighton-11-charles-st-dorchester-nusy-hassan-or-cynthia-barros-amanda-reveles-857-891-1742-o-yoshy-santos-617-528-9635-617-635-8950-1222025-500-pm-700-pm-p-11202025-1000-am-1100-am-v-11182025-300-pm-500-pm-p
"1/27/2026: 5:00 PM - 7:00 PM, (P) 1/15/2026: 10:00 AM - 11:00 AM, (V) 1/16/2025: 2:00 PM - 4:00 PM, (P)
Boston International High School
(9-12) Carter School (K2-12) Condon K-8 School (K0*-8)
100 Maxwell St, Dorchester 396 Northampton St, Boston 200 D St, South Boston
Yaritza Sanchez: 857-321-8957 Kathleen Ryan: 617-635-9832 Andrea Nogueira: 617-635-8606
11/18/2025: 10:00 AM - 12:00 PM, (P) 11/10/2025: 11:00 AM - 11:30 AM, (V) 11/12/2025: 10:30 AM - 11:30 AM, (P)",https://www.bostonpublicschools.org/school/1272026-500-pm-700-pm-p-1152026-1000-am-1100-am-v-1162025-200-pm-400-pm-p-boston-international-high-school-9-12-carter-school-k2-12-condon-k-8-school-k0-8-100-maxwell-st-dorchester-396-northampton-st-boston-200-d-st-south-boston-yaritza-sanchez-857-321-8957-kathleen-ryan-617-635-9832-andrea-nogueira-617-635-8606-11182025-1000-am-1200-pm-p-11102025-1100-am-1130-am-v-11122025-1030-am-1130-am-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1272026-500-pm-700-pm-p-1152026-1000-am-1100-am-v-1162025-200-pm-400-pm-p-boston-international-high-school-9-12-carter-school-k2-12-condon-k-8-school-k0-8-100-maxwell-st-dorchester-396-northampton-st-boston-200-d-st-south-boston-yaritza-sanchez-857-321-8957-kathleen-ryan-617-635-9832-andrea-nogueira-617-635-8606-11182025-1000-am-1200-pm-p-11102025-1100-am-1130-am-v-11122025-1030-am-1130-am-p
"1/22/2026: 6:00 PM - 8:00 PM, (V) 1/22/2026: 1:00 AM - 1:30 PM, (V) 1/14/2026: 9:00 AM - 10:00 AM, (P)
Boston Latin Academy (7-12) Channing Elementary (K0*-6) Conley Elementary (K0-6)
205 Townsend St, Boston 35 Sunnyside St, Hyde Park 450 Poplar St, Roslindale
Markiesha Duverneau: 617-635-8099
Manuela Medina: 617-635-9957 Bruni Gonzalez-Velez: 617-635-8722 x11668
11/20/2025: 7:30 AM - 8:30 AM, (P) 11/21/2025: 11:00 AM - 2:00 PM, (P) 11/22/2025: 10:00 AM - 12:00 PM, (P)",https://www.bostonpublicschools.org/school/1222026-600-pm-800-pm-v-1222026-100-am-130-pm-v-1142026-900-am-1000-am-p-boston-latin-academy-7-12-channing-elementary-k0-6-conley-elementary-k0-6-205-townsend-st-boston-35-sunnyside-st-hyde-park-450-poplar-st-roslindale-markiesha-duverneau-617-635-8099-manuela-medina-617-635-9957-bruni-gonzalez-velez-617-635-8722-x11668-11202025-730-am-830-am-p-11212025-1100-am-200-pm-p-11222025-1000-am-1200-pm-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1222026-600-pm-800-pm-v-1222026-100-am-130-pm-v-1142026-900-am-1000-am-p-boston-latin-academy-7-12-channing-elementary-k0-6-conley-elementary-k0-6-205-townsend-st-boston-35-sunnyside-st-hyde-park-450-poplar-st-roslindale-markiesha-duverneau-617-635-8099-manuela-medina-617-635-9957-bruni-gonzalez-velez-617-635-8722-x11668-11202025-730-am-830-am-p-11212025-1100-am-200-pm-p-11222025-1000-am-1200-pm-p
"1/14/2026: 5:00 PM - 6:00 PM, (V) 1/28/2026: 11:00 AM - 2:00 PM, (P) 1/23/2026: 8:30 AM - 10:30 AM, (P)
Boston Latin School (7-12) Charlestown High School (7-12) Curley K-8 School (K0*-8)
78 Avenue Louis Pasteur., Boston 240 Medford St, Charlestown 40 Pershing Rd, Jamaica Plain
Martha Pierce: 617-635-8895 Danitza Acevedo: 617-635-9914 Yamile Hernandez: 857-269-7296
11/14/2025: 3:30 PM - 4:30 PM, (P) 11/18/2025: 8:00 AM - 9:30 AM, (P) 11/19/2025: 9:10 AM - 10:10 AM, (P)",https://www.bostonpublicschools.org/school/1142026-500-pm-600-pm-v-1282026-1100-am-200-pm-p-1232026-830-am-1030-am-p-boston-latin-school-7-12-charlestown-high-school-7-12-curley-k-8-school-k0-8-78-avenue-louis-pasteur-boston-240-medford-st-charlestown-40-pershing-rd-jamaica-plain-martha-pierce-617-635-8895-danitza-acevedo-617-635-9914-yamile-hernandez-857-269-7296-11142025-330-pm-430-pm-p-11182025-800-am-930-am-p-11192025-910-am-1010-am-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1142026-500-pm-600-pm-v-1282026-1100-am-200-pm-p-1232026-830-am-1030-am-p-boston-latin-school-7-12-charlestown-high-school-7-12-curley-k-8-school-k0-8-78-avenue-louis-pasteur-boston-240-medford-st-charlestown-40-pershing-rd-jamaica-plain-martha-pierce-617-635-8895-danitza-acevedo-617-635-9914-yamile-hernandez-857-269-7296-11142025-330-pm-430-pm-p-11182025-800-am-930-am-p-11192025-910-am-1010-am-p
"1/10/2026: 10:00 AM - 11:00 AM, (P) 1/7/2026: 5:30 PM - 7:00 PM, (V) 2/3/2026: 5:00 PM - 6:00 PM, (P)
Boston Teachers Union Elementary
(K0-6) Chittick Elementary (K0*-6) Dearborn STEM Academy (7-12)
25 Walk Hill St, Jamaica Plain 154 Ruskindale Rd, Mattapan 36 Winthrop St, Roxbury
Jerica Williams: 617-635-7717 Mrs. Florence Taylor: 617-212-5358 Mr.Centeio: 617-635-8412
11/21/2025: 11:00 AM - 12:30 PM, (P) 11/13/2025: 9:30 AM - 11:30 AM, (P) 12/2/2025: 12:00 PM - 1:00 PM, (V)",https://www.bostonpublicschools.org/school/1102026-1000-am-1100-am-p-172026-530-pm-700-pm-v-232026-500-pm-600-pm-p-boston-teachers-union-elementary-k0-6-chittick-elementary-k0-6-dearborn-stem-academy-7-12-25-walk-hill-st-jamaica-plain-154-ruskindale-rd-mattapan-36-winthrop-st-roxbury-jerica-williams-617-635-7717-mrs-florence-taylor-617-212-5358-mrcenteio-617-635-8412-11212025-1100-am-1230-pm-p-11132025-930-am-1130-am-p-1222025-1200-pm-100-pm-v,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1102026-1000-am-1100-am-p-172026-530-pm-700-pm-v-232026-500-pm-600-pm-p-boston-teachers-union-elementary-k0-6-chittick-elementary-k0-6-dearborn-stem-academy-7-12-25-walk-hill-st-jamaica-plain-154-ruskindale-rd-mattapan-36-winthrop-st-roxbury-jerica-williams-617-635-7717-mrs-florence-taylor-617-212-5358-mrcenteio-617-635-8412-11212025-1100-am-1230-pm-p-11132025-930-am-1130-am-p-1222025-1200-pm-100-pm-v
Boston Day-Evening Academy (9-12) Bradley Elementary (K0-6) Community Academy (9-12),https://www.bostonpublicschools.org/school/boston-day-evening-academy-9-12-bradley-elementary-k0-6-community-academy-9-12,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-day-evening-academy-9-12-bradley-elementary-k0-6-community-academy-9-12
Community Academy of Science and,https://www.bostonpublicschools.org/school/community-academy-of-science-and,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/community-academy-of-science-and
Boston Green Academy (7-12) Brighton High School (7-12) Health (10-12),https://www.bostonpublicschools.org/school/boston-green-academy-7-12-brighton-high-school-7-12-health-10-12,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-green-academy-7-12-brighton-high-school-7-12-health-10-12
Boston International High School,https://www.bostonpublicschools.org/school/boston-international-high-school,9-12,,,Programs mentioned on site; see school website for full list.,Special education/504/IEP support mentioned on site; see school website for details.,617-635-9373,2300 Washington Street Roxbury MA 02119,After school/extracurricular activities mentioned; see school website for full list.,2024,Boston International High School - Boston Public Schools
(9-12) Carter School (K2-12) Condon K-8 School (K0*-8),https://www.bostonpublicschools.org/school/9-12-carter-school-k2-12-condon-k-8-school-k0-8,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/9-12-carter-school-k2-12-condon-k-8-school-k0-8
Boston Latin Academy (7-12) Channing Elementary (K0*-6) Conley Elementary (K0-6),https://www.bostonpublicschools.org/school/boston-latin-academy-7-12-channing-elementary-k0-6-conley-elementary-k0-6,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-latin-academy-7-12-channing-elementary-k0-6-conley-elementary-k0-6
Boston Latin School (7-12) Charlestown High School (7-12) Curley K-8 School (K0*-8),https://www.bostonpublicschools.org/school/boston-latin-school-7-12-charlestown-high-school-7-12-curley-k-8-school-k0-8,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-latin-school-7-12-charlestown-high-school-7-12-curley-k-8-school-k0-8
(K0-6) Chittick Elementary (K0*-6) Dearborn STEM Academy (7-12),https://www.bostonpublicschools.org/school/k0-6-chittick-elementary-k0-6-dearborn-stem-academy-7-12,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/k0-6-chittick-elementary-k0-6-dearborn-stem-academy-7-12
"Dudley Street Neighborhood School Ellison-Parks Early Education School
(K1-5) (K0-3) Greater Egleston High School (9-12)
6 Shirley St, Roxbury 108 Babson St, Mattapan 80 School St, Roxbury
Keisha Williams: 617-635-8507 Charles Mentos: 617-635-7680 Jordan Ritchie: 315-399-8024
11/11/2025: 10:00 AM - 11:00 AM, (V) 11/21/2025: 9:30 AM - 10:30 AM, (P) 11/18/2025: 10:00 AM - 12:30 AM, (P)",https://www.bostonpublicschools.org/school/dudley-street-neighborhood-school-ellison-parks-early-education-school-k1-5-k0-3-greater-egleston-high-school-9-12-6-shirley-st-roxbury-108-babson-st-mattapan-80-school-st-roxbury-keisha-williams-617-635-8507-charles-mentos-617-635-7680-jordan-ritchie-315-399-8024-11112025-1000-am-1100-am-v-11212025-930-am-1030-am-p-11182025-1000-am-1230-am-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/dudley-street-neighborhood-school-ellison-parks-early-education-school-k1-5-k0-3-greater-egleston-high-school-9-12-6-shirley-st-roxbury-108-babson-st-mattapan-80-school-st-roxbury-keisha-williams-617-635-8507-charles-mentos-617-635-7680-jordan-ritchie-315-399-8024-11112025-1000-am-1100-am-v-11212025-930-am-1030-am-p-11182025-1000-am-1230-am-p
"1/27/2026: 10:00 AM - 11:00 AM, (V) 1/26/2026: 5:30 PM - 6:30 PM, (V) 1/22/2026: 10:00 AM - 12:30 PM, (P)
East Boston Early Education Center
(K0-1) English High School (7-12) Sarah Greenwood K-8 School (K1-8)
135 Gove St, East Boston 144 McBride St, Jamaica Plain 186 Glenway Street, Dorchester
Elisa Morales: 617-635-6456 Kristi Lucks: 617-635-8979 Grisselle Ubilez Woodley: 617-635-8710
11/19/2025: 9:00 AM - 10:00 AM, (P) 11/18/2025: 5:30 PM - 6:30 PM, (P) 11/12/2025: 9:30 AM - 10:30 AM, (P)",https://www.bostonpublicschools.org/school/1272026-1000-am-1100-am-v-1262026-530-pm-630-pm-v-1222026-1000-am-1230-pm-p-east-boston-early-education-center-k0-1-english-high-school-7-12-sarah-greenwood-k-8-school-k1-8-135-gove-st-east-boston-144-mcbride-st-jamaica-plain-186-glenway-street-dorchester-elisa-morales-617-635-6456-kristi-lucks-617-635-8979-grisselle-ubilez-woodley-617-635-8710-11192025-900-am-1000-am-p-11182025-530-pm-630-pm-p-11122025-930-am-1030-am-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1272026-1000-am-1100-am-v-1262026-530-pm-630-pm-v-1222026-1000-am-1230-pm-p-east-boston-early-education-center-k0-1-english-high-school-7-12-sarah-greenwood-k-8-school-k1-8-135-gove-st-east-boston-144-mcbride-st-jamaica-plain-186-glenway-street-dorchester-elisa-morales-617-635-6456-kristi-lucks-617-635-8979-grisselle-ubilez-woodley-617-635-8710-11192025-900-am-1000-am-p-11182025-530-pm-630-pm-p-11122025-930-am-1030-am-p
"1/27/2026: 5:00 PM - 6:00 PM, (P) 1/14/2026: 3:30 PM - 4:30 PM, (P) 1/13/2026: 9:00 AM - 10:30 AM, (P)
East Boston High School (7-12) Everett Elementary (K0*-6) Grew Elementary (K0-6)
86 White St, East Boston 71 Pleasant St, Dorchester 40 Gordon Ave, Hyde Park
Karla Torres-Welch: 857-293-9320 Geraldine Labissiere: 617-635-8779 Daniella Bradley: 617-635-6715
11/20/2025: 8:15 AM - 10:15 AM, (P) 11/20/2025: 10:00 AM - 12:00 PM, (P) 11/13/2025: 5:00 PM - 6:00 PM, (P)",https://www.bostonpublicschools.org/school/1272026-500-pm-600-pm-p-1142026-330-pm-430-pm-p-1132026-900-am-1030-am-p-east-boston-high-school-7-12-everett-elementary-k0-6-grew-elementary-k0-6-86-white-st-east-boston-71-pleasant-st-dorchester-40-gordon-ave-hyde-park-karla-torres-welch-857-293-9320-geraldine-labissiere-617-635-8779-daniella-bradley-617-635-6715-11202025-815-am-1015-am-p-11202025-1000-am-1200-pm-p-11132025-500-pm-600-pm-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1272026-500-pm-600-pm-p-1142026-330-pm-430-pm-p-1132026-900-am-1030-am-p-east-boston-high-school-7-12-everett-elementary-k0-6-grew-elementary-k0-6-86-white-st-east-boston-71-pleasant-st-dorchester-40-gordon-ave-hyde-park-karla-torres-welch-857-293-9320-geraldine-labissiere-617-635-8779-daniella-bradley-617-635-6715-11202025-815-am-1015-am-p-11202025-1000-am-1200-pm-p-11132025-500-pm-600-pm-p
"1/26/2026: 2:30 PM - 4:30 PM, (P) 1/22/2026: 6:30 PM - 8:00 PM, (V) 1/12/2026: 5:00 PM - 6:00 PM, (P)
Edison Elementary (K1-6) Fenway High School (9-12) Guild Elementary (K0*-6)
60 Glenmont Rd, Brighton 67 Alleghany Street, Fenway 195 Leyden St, East Boston
Maria Centeio: 617-635-8436 Laura Martinez: 617-635-9911 x45520 Beatriz Contreras: 617-635-8523
11/11/2025: 9:30 AM - 10:30 AM, (P) 12/17/2025: 6:00 PM - 7:30 PM, (V) 11/18/2025: 10:00 AM - 11:00 AM, (P)",https://www.bostonpublicschools.org/school/1262026-230-pm-430-pm-p-1222026-630-pm-800-pm-v-1122026-500-pm-600-pm-p-edison-elementary-k1-6-fenway-high-school-9-12-guild-elementary-k0-6-60-glenmont-rd-brighton-67-alleghany-street-fenway-195-leyden-st-east-boston-maria-centeio-617-635-8436-laura-martinez-617-635-9911-x45520-beatriz-contreras-617-635-8523-11112025-930-am-1030-am-p-12172025-600-pm-730-pm-v-11182025-1000-am-1100-am-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1262026-230-pm-430-pm-p-1222026-630-pm-800-pm-v-1122026-500-pm-600-pm-p-edison-elementary-k1-6-fenway-high-school-9-12-guild-elementary-k0-6-60-glenmont-rd-brighton-67-alleghany-street-fenway-195-leyden-st-east-boston-maria-centeio-617-635-8436-laura-martinez-617-635-9911-x45520-beatriz-contreras-617-635-8523-11112025-930-am-1030-am-p-12172025-600-pm-730-pm-v-11182025-1000-am-1100-am-p
